ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
3450741,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,8,Webb Bridge,80
3450742,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,7,Birrarung Marr,56
3450743,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,5,Princes Bridge,260
3450744,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,6,Flinders Street Station Underpass,287
3450745,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,14,Sandridge Bridge,146
3450746,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,26,QV Market-Elizabeth St (West),108
3450747,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,24,Spencer St-Collins St (North),289
3450748,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,23,Spencer St-Collins St (South),69
3450751,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,20,Chinatown-Lt Bourke St (South),14
3450752,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,19,Chinatown-Swanston St (North),23
3450753,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,22,Flinders St-Elizabeth St (East),384
3450754,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,27,QV Market-Peel St,32
3450755,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,28,The Arts Centre,157
3450756,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,31,Lygon St (West),38
3450757,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,30,Lonsdale St (South),33
3450758,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,34,Flinders St-Spark La,38
3450759,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,39,Alfred Place,15
3450760,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,37,Lygon St (East),15
3450761,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,40,Lonsdale St-Spring St (West),33
3450762,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,36,Queen St (West),53
3450763,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,29,St Kilda Rd-Alexandra Gardens,18
3450764,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,42,Grattan St-Swanston St (West),72
3450765,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,43,Monash Rd-Swanston St (West),15
3450766,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,44,Tin Alley-Swanston St (West),3
3450767,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,35,Southbank,282
3450768,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,45,Little Collins St-Swanston St (East),45
3450769,12/11/2020 06:00:00 AM,2020,December,11,Friday,6,41,Flinders La-Swanston St (West),340
